Time,Channel A,Channel B
(ms),(mV),(V)

-60.00292541,1.51477200,-1.73345700
-60.00192541,1.51477200,-1.73345700
-60.00092541,1.51477200,-1.73055800
-59.99992541,1.51477200,-1.73055800
-59.99892541,1.51446700,-1.73635700
-59.99792541,1.51446700,-1.73635700
-59.99692541,1.51446700,-1.73635700
-59.99592541,1.51446700,-1.73345700
-59.99492541,1.51446700,-1.73345700
-59.99392541,1.51416200,-1.73345700
-59.99292541,1.51416200,-1.73345700
-59.99192541,1.51416200,-1.73345700
-59.99092541,1.51416200,-1.73345700
-59.98992541,1.51385700,-1.74505600
-59.98892541,1.51385700,-1.74215600
-59.98792541,1.51385700,-1.73635700
-59.98692541,1.51385700,-1.72765800
-59.98592541,1.51355100,-1.73055800
-59.98492541,1.51355100,-1.73345700
-59.98392541,1.51355100,-1.73345700
-59.98292541,1.51355100,-1.73345700
-59.98192541,1.51324600,-1.73345700
-59.98092541,1.51324600,-1.73345700
-59.97992541,1.51324600,-1.73055800
-59.97892541,1.51324600,-1.73345700
-59.97792541,1.51294100,-1.72765800
-59.97692541,1.51294100,-1.73345700
-59.97592541,1.51294100,-1.73345700
-59.97492541,1.51294100,-1.73055800
-59.97392541,1.51263600,-1.73345700
-59.97292541,1.51263600,-1.73345700
-59.97192541,1.51263600,-1.73345700
-59.97092541,1.51263600,-1.73345700
-59.96992541,1.51233100,-1.73055800
-59.96892541,1.51233100,-1.73055800
-59.96792541,1.51233100,-1.73055800
-59.96692541,1.51233100,-1.73055800
-59.96592541,1.51202500,-1.72765800
-59.96492541,1.51202500,-1.73345700
-59.96392541,1.51202500,-1.73345700
-59.96292541,1.51202500,-1.73055800
-59.96192541,1.51172000,-1.73055800
-59.96092541,1.51172000,-1.73055800
-59.95992541,1.51172000,-1.73055800
-59.95892541,1.51172000,-1.73055800
-59.95792541,1.51141500,-1.73055800
-59.95692541,1.51141500,-1.73055800
-59.95592541,1.51141500,-1.73055800
-59.95492541,1.51141500,-1.73055800
-59.95392541,1.51111000,-1.73055800
-59.95292541,1.51111000,-1.73055800
-59.95192541,1.51111000,-1.73055800
-59.95092541,1.51111000,-1.73055800
-59.94992541,1.51080400,-1.73055800
-59.94892541,1.51080400,-1.73345700
-59.94792541,1.51080400,-1.73055800
-59.94692541,1.51080400,-1.72765800
-59.94592541,1.51049900,-1.72765800
-59.94492541,1.51049900,-1.73635700
-59.94392541,1.51049900,-1.73055800
-59.94292541,1.51049900,-1.73345700
-59.94192541,1.51019400,-1.72765800
-59.94092541,1.51019400,-1.73345700
-59.93992541,1.51019400,-1.73055800
-59.93892541,1.51019400,-1.72765800
-59.93792541,1.51019400,-1.73345700
-59.93692541,1.50988900,-1.73345700
-59.93592541,1.50988900,-1.73055800
-59.93492541,1.50988900,-1.73345700
-59.93392541,1.50988900,-1.73055800
-59.93292541,1.50958400,-1.73055800
-59.93192541,1.50958400,-1.73055800
-59.93092541,1.50958400,-1.73055800
-59.92992541,1.50958400,-1.73055800
-59.92892541,1.50927800,-1.73055800
-59.92792541,1.50927800,-1.73055800
-59.92692541,1.50927800,-1.73345700
-59.92592541,1.50927800,-1.73345700
-59.92492541,1.50897300,-1.73055800
-59.92392541,1.50897300,-1.72765800
-59.92292541,1.50897300,-1.73055800
-59.92192541,1.50897300,-1.73635700
-59.92092541,1.50866800,-1.73925700
-59.91992541,1.50866800,-1.72765800
-59.91892541,1.50866800,-1.73055800
-59.91792541,1.50866800,-1.73055800
-59.91692541,1.50836300,-1.73345700
-59.91592541,1.50836300,-1.72765800
-59.91492541,1.50836300,-1.73055800
-59.91392541,1.50836300,-1.73055800
-59.91292541,1.50805700,-1.73055800
-59.91192541,1.50805700,-1.73055800
-59.91092541,1.50805700,-1.73055800
-59.90992541,1.50805700,-1.73055800
-59.90892541,1.50775200,-1.73055800
-59.90792541,1.50775200,-1.72765800
-59.90692541,1.50775200,-1.72765800
-59.90592541,1.50775200,-1.73055800
-59.90492541,1.50744700,-1.72765800
-59.90392541,1.50744700,-1.72765800
-59.90292541,1.50744700,-1.72765800
-59.90192541,1.50744700,-1.72765800
-59.90092541,1.50714200,-1.72765800
-59.89992541,1.50714200,-1.73055800
-59.89892541,1.50714200,-1.72765800
-59.89792541,1.50714200,-1.73055800
-59.89692541,1.50683700,-1.72765800
-59.89592541,1.50683700,-1.72765800
-59.89492541,1.50683700,-1.73055800
-59.89392541,1.50683700,-1.72765800
-59.89292541,1.50653100,-1.73055800
-59.89192541,1.50653100,-1.73055800
-59.89092541,1.50653100,-1.73055800
-59.88992541,1.50653100,-1.73055800
-59.88892541,1.50622600,-1.72765800
-59.88792541,1.50622600,-1.72765800
-59.88692541,1.50622600,-1.72765800
-59.88592541,1.50622600,-1.73055800
-59.88492541,1.50592100,-1.72765800
-59.88392541,1.50592100,-1.72765800
-59.88292541,1.50592100,-1.72765800
-59.88192541,1.50592100,-1.72765800
-59.88092541,1.50561600,-1.72765800
-59.87992541,1.50561600,-1.72765800
-59.87892541,1.50561600,-1.72765800
-59.87792541,1.50561600,-1.72765800
-59.87692541,1.50531100,-1.72491100
-59.87592541,1.50531100,-1.73055800
-59.87492541,1.50531100,-1.72765800
-59.87392541,1.50531100,-1.73055800
-59.87292541,1.50500500,-1.72765800
-59.87192541,1.50500500,-1.72765800
-59.87092541,1.50500500,-1.72765800
-59.86992541,1.50500500,-1.72765800
-59.86892541,1.50470000,-1.72765800
-59.86792541,1.50470000,-1.72765800
-59.86692541,1.50470000,-1.72765800
-59.86592541,1.50470000,-1.72765800
-59.86492541,1.50439500,-1.72765800
-59.86392541,1.50439500,-1.72765800
-59.86292541,1.50439500,-1.72765800
-59.86192541,1.50439500,-1.72765800
-59.86092541,1.50409000,-1.72491100
-59.85992541,1.50409000,-1.72765800
-59.85892541,1.50409000,-1.72765800
-59.85792541,1.50409000,-1.72765800
-59.85692541,1.50378500,-1.72765800
-59.85592541,1.50378500,-1.72491100
-59.85492541,1.50378500,-1.72765800
-59.85392541,1.50378500,-1.73345700
-59.85292541,1.50347900,-1.73055800
-59.85192541,1.50347900,-1.72765800
-59.85092541,1.50347900,-1.73055800
-59.84992541,1.50347900,-1.72765800
-59.84892541,1.50317400,-1.72765800
-59.84792541,1.50317400,-1.72491100
-59.84692541,1.50317400,-1.72491100
